15000000001,1,16
15000000002,1,19
15000000003,1,20
15000000004,1,27
15000000005,1,8
15000000006,1,13
15000000007,1,9
15000000008,1,24
15000000009,1,8
15000000010,1,4
15000000011,1,11
15000000012,1,0
15000000013,1,2
15000000014,1,14
15000000015,1,8
15000000016,1,3
15000000017,1,7
15000000018,1,3
15000000019,1,21
15000000020,1,12
15000000021,1,2
15000000022,1,26
15000000023,1,12
15000000024,1,19
15000000025,1,23
15000000026,1,27
15000000027,1,22
15000000028,1,13
15000000029,1,27
15000000030,1,5
15000000031,1,8
15000000032,1,16
15000000033,1,2
15000000034,1,22
15000000035,1,21
15000000036,1,19
15000000037,1,27
15000000038,1,23
15000000039,1,25
15000000040,1,2
15000000041,1,23
15000000042,1,3
15000000043,1,6
15000000044,1,14
15000000045,1,19
15000000046,1,2
15000000047,1,2
15000000048,1,9
15000000049,1,4
15000000050,1,28
15000000051,1,16
15000000052,1,3
15000000053,1,6
15000000054,1,19
15000000055,1,23
15000000056,1,16
15000000057,1,8
15000000058,1,0
15000000059,1,14
15000000060,1,12
15000000061,1,22
15000000062,1,16
15000000063,1,0
15000000064,1,15
15000000065,1,12
15000000066,1,21
15000000067,1,3
15000000068,1,21
15000000069,1,12
15000000070,1,16
15000000071,1,7
15000000072,1,16
15000000073,1,21
15000000074,1,13
15000000075,1,5
15000000076,1,29
15000000077,1,15
15000000078,1,11
15000000079,1,3
15000000080,1,29
15000000081,1,14
15000000082,1,19
15000000083,1,0
15000000084,1,20
15000000085,1,4
15000000086,1,28
15000000087,1,17
15000000088,1,29
15000000089,1,19
15000000090,1,11
15000000091,1,24
15000000092,1,9
15000000093,1,6
15000000094,1,16
15000000095,1,10
15000000096,1,5
15000000097,1,26
15000000098,1,15
15000000099,1,7
15000000100,1,1
